frame,drone_count,base_speed,speed_multiplier,neighbor_distance,collisions,avg_distance
4590,40,3.0,1.0,120,0,181.58
4620,40,3.0,1.0,120,0,177.71
4650,40,3.0,1.0,120,0,176.6
4680,40,3.0,1.0,120,0,174.99
4710,40,3.0,1.0,120,1,173.39
4740,40,3.0,1.0,120,1,172.4
4770,40,3.0,1.0,120,1,170.79
4800,40,3.0,1.0,120,1,168.5
4830,40,3.0,1.0,120,1,165.32
4860,40,3.0,1.0,120,1,161.98
4890,40,3.0,1.0,120,0,157.07
4920,40,3.0,1.0,120,0,153.35
4950,40,3.0,1.0,120,0,151.87
4980,40,3.0,1.0,120,2,150.85
5010,40,3.0,1.0,120,1,150.31
5040,40,3.0,1.0,120,1,159.93
5070,40,3.0,1.0,120,1,160.55
5100,40,3.0,1.0,120,3,160.07
5130,40,3.0,1.0,120,3,161.64
5160,40,3.0,1.0,120,3,162.93
5190,40,3.0,1.0,120,3,162.6
5220,40,3.0,1.0,120,4,162.11
5250,40,3.0,1.0,120,4,161.56
5280,40,3.0,1.0,120,3,161.67
5310,40,3.0,1.0,120,3,162.6
5340,40,3.0,1.0,120,4,163.38
5370,40,3.0,1.0,120,5,164.69
5400,40,3.0,1.0,120,4,165.64
5430,40,3.0,1.0,120,3,167.24
5460,40,3.0,1.0,120,3,169.56
5490,40,3.0,1.0,120,3,157.98
5520,40,3.0,1.0,120,3,141.85
5550,40,3.0,1.0,120,3,122.63
5580,40,3.0,1.0,120,3,118.67
5610,40,3.0,1.0,120,3,114.9
5640,40,3.0,1.0,120,3,111.16
5670,40,3.0,1.0,120,3,108.0
5700,40,3.0,1.0,120,3,105.18
5730,40,3.0,1.0,120,3,102.42
5760,40,3.0,1.0,120,3,99.64
5790,40,3.0,1.0,120,3,96.88
5820,40,3.0,1.0,120,3,94.54
5850,40,3.0,1.0,120,3,92.2
5880,40,3.0,1.0,120,4,89.62
5910,40,3.0,1.0,120,4,87.15
5940,40,3.0,1.0,120,4,84.62
5970,40,3.0,1.0,120,4,82.28
6000,40,3.0,1.0,120,4,80.27
6030,40,3.0,1.0,120,4,78.88
6060,40,3.0,1.0,120,4,78.12
6090,40,3.0,1.0,120,4,77.44
6120,40,3.0,1.0,120,4,76.98
6150,40,3.0,1.0,120,4,76.63
6180,40,3.0,1.0,120,4,76.12
6210,40,3.0,1.0,120,4,75.62
6240,40,3.0,1.0,120,4,75.0
6270,40,3.0,1.0,120,4,74.46
6300,40,3.0,1.0,120,4,73.62
6330,40,3.0,1.0,120,4,72.72
6360,40,3.0,1.0,120,5,71.94
6390,40,3.0,1.0,120,5,71.39
6420,40,3.0,1.0,120,5,70.44
6450,40,3.0,1.0,120,5,70.19
6480,40,3.0,1.0,120,5,70.05
6510,40,3.0,1.0,120,5,70.04
6540,40,3.0,1.0,120,5,70.09
6570,40,3.0,1.0,120,5,69.9
6600,40,3.0,1.0,120,5,69.88
6630,40,3.0,1.0,120,5,69.82
6660,40,3.0,1.0,120,5,69.75
6690,40,3.0,1.0,120,5,69.64
6720,40,3.0,1.0,120,5,69.64
6750,40,3.0,1.0,120,5,69.71
6780,40,3.0,1.0,120,5,69.58
6810,40,3.0,1.0,120,5,69.56
6840,40,3.0,1.0,120,5,69.52
6870,40,3.0,1.0,120,5,69.36
6900,40,3.0,1.0,120,5,69.34
6930,40,3.0,1.0,120,5,69.36
6960,40,3.0,1.0,120,5,69.41
6990,40,3.0,1.0,120,5,69.3
7020,40,3.0,1.0,120,5,69.11
7050,40,3.0,1.0,120,5,69.25
7080,40,3.0,1.0,120,5,69.15
7110,40,3.0,1.0,120,5,69.04
7140,40,3.0,1.0,120,5,68.58
7170,40,3.0,1.0,120,5,68.64
7200,40,3.0,1.0,120,5,68.65
7230,40,3.0,1.0,120,5,68.87
7260,40,3.0,1.0,120,6,68.78
7290,40,3.0,1.0,120,6,68.66
7320,40,3.0,1.0,120,6,68.52
7350,40,3.0,1.0,120,6,68.36
7380,40,3.0,1.0,120,6,68.14
7410,40,3.0,1.0,120,6,67.86
7440,40,3.0,1.0,120,6,67.66
7470,40,3.0,1.0,120,6,67.6
7500,40,3.0,1.0,120,6,67.61
7530,40,3.0,1.0,120,6,67.58
7560,40,3.0,1.0,120,6,67.57
7590,40,3.0,1.0,120,6,67.37
7620,40,3.0,1.0,120,6,67.31
7650,40,3.0,1.0,120,6,67.2
7680,40,3.0,1.0,120,6,67.24
7710,40,3.0,1.0,120,6,67.37
7740,40,3.0,1.0,120,6,67.45
7770,40,3.0,1.0,120,6,67.52
7800,40,3.0,1.0,120,6,67.48
7830,40,3.0,1.0,120,6,67.52
7860,40,3.0,1.0,120,6,67.54
7890,40,3.0,1.0,120,6,67.59
7920,40,3.0,1.0,120,6,67.65
7950,40,3.0,1.0,120,6,67.56
7980,40,3.0,1.0,120,6,67.56
8010,40,3.0,1.0,120,6,67.64
8040,40,3.0,1.0,120,6,67.72
8070,40,3.0,1.0,120,6,67.84
8100,40,3.0,1.0,120,6,67.83
8130,40,3.0,1.0,120,6,67.76
8160,40,3.0,1.0,120,6,67.93
8190,40,3.0,1.0,120,6,67.88
8220,40,3.0,1.0,120,6,67.95
8250,40,3.0,1.0,120,6,68.01
8280,40,3.0,1.0,120,6,67.94
8310,40,3.0,1.0,120,6,67.9
8340,40,3.0,1.0,120,6,67.78
8370,40,3.0,1.0,120,6,67.73
8400,40,3.0,1.0,120,6,67.77
8430,40,3.0,1.0,120,6,67.73
8460,40,3.0,1.0,120,6,67.84
8490,40,3.0,1.0,120,6,67.57
8520,40,3.0,1.0,120,5,67.45
8550,40,3.0,1.0,120,5,67.03
8580,40,3.0,1.0,120,5,66.74
8610,40,3.0,1.0,120,4,66.59
8640,40,3.0,1.0,120,4,66.9
8670,40,3.0,1.0,120,4,66.98
8700,40,3.0,1.0,120,4,66.98
8730,40,3.0,1.0,120,4,67.11
8760,40,3.0,1.0,120,4,67.19
8790,50,3.0,1.0,120,0,470.91
8820,60,3.0,1.0,120,1,452.57
8850,70,3.0,1.0,120,0,458.8
8880,70,3.0,1.0,120,0,452.89
8910,80,3.0,1.0,120,0,470.19
8940,80,3.0,1.0,120,1,464.31
8970,90,3.0,1.0,120,2,426.91
9000,90,3.0,1.0,120,0,417.43
9030,100,3.0,1.0,120,3,432.46
9060,100,3.0,1.0,120,0,424.54
9090,110,3.0,1.0,120,1,456.85
9120,110,3.0,1.0,120,0,445.37
9150,110,3.0,1.0,120,0,433.59
9180,110,3.0,1.0,120,0,426.49
9210,120,3.0,1.0,120,2,446.11
9240,130,3.0,1.0,120,4,452.87
9270,140,3.0,1.0,120,2,427.01
9300,160,3.0,1.0,120,0,442.69
9330,160,3.0,1.0,120,0,430.71
9360,160,3.0,1.0,120,0,421.89
9390,160,3.0,1.0,120,0,412.5
9420,160,3.0,1.0,120,0,406.62
9450,160,3.0,1.0,120,1,402.12
9480,160,3.0,1.0,120,1,399.86
9510,160,3.0,1.0,120,1,399.71
9540,160,3.0,1.0,120,1,399.36
9570,160,3.0,1.0,120,2,397.15
9600,160,3.0,1.0,120,2,396.01
9630,160,3.0,1.0,120,2,392.01
9660,160,3.0,1.0,120,2,388.82
9690,160,3.0,1.0,120,3,382.9
9720,160,3.0,1.0,120,3,375.99
9750,150,3.0,1.0,120,2,433.15
9780,140,3.0,1.0,120,2,442.75
9810,130,3.0,1.0,120,2,440.93
9840,120,3.0,1.0,120,3,439.03
9870,90,3.0,1.0,120,2,421.0
9900,80,3.0,1.0,120,1,440.79
9930,70,3.0,1.0,120,0,448.25
9960,70,3.0,1.0,120,1,433.5
9990,70,3.0,1.0,120,0,423.41
10020,70,3.0,1.0,120,0,419.82
10050,70,3.0,1.0,120,0,417.96
10080,70,3.0,1.0,120,0,413.86
10110,70,3.0,1.0,120,0,409.48
10140,70,3.0,1.0,120,0,402.49
10170,70,3.0,1.0,120,0,392.62
10200,70,3.0,1.0,120,0,383.32
10230,70,3.0,1.0,120,0,373.22
10260,70,3.0,1.0,120,0,362.83
10290,70,3.0,1.0,120,0,352.78
10320,70,3.0,1.0,120,0,343.07
10350,70,3.0,1.0,120,0,336.99
10380,70,3.0,1.0,120,0,334.64
10410,70,3.0,1.0,120,0,332.91
10440,70,3.0,1.0,120,0,333.4
10470,70,3.0,1.0,120,1,336.15
10500,70,3.0,1.0,120,1,338.56
10530,70,3.0,1.0,120,1,340.46
10560,70,3.0,1.0,120,1,340.64
10590,70,3.0,1.4,120,1,339.7
10620,70,3.0,1.6,120,1,333.98
10650,70,3.0,1.8,120,1,326.88
10680,70,3.0,2.2,120,1,325.21
10710,70,3.0,2.2,120,1,323.92
10740,70,3.0,2.2,120,1,323.46
10770,70,3.0,2.2,120,1,322.47
10800,70,3.0,2.2,120,1,320.04
10830,70,3.0,2.2,120,1,318.36
10860,70,3.0,2.2,120,1,316.94
10890,70,3.0,2.2,120,1,315.3
10920,70,3.0,2.2,120,1,311.69
10950,70,3.0,2.2,120,1,306.51
10980,70,3.0,2.2,120,2,302.31
11010,70,3.0,2.2,120,1,301.28
11040,70,3.0,2.2,120,1,304.63
11070,70,3.0,2.2,120,1,308.44
11100,70,3.0,2.2,120,1,312.41
11130,70,3.0,2.2,120,1,316.47
11160,70,3.0,2.2,120,1,345.49
11190,70,3.0,2.2,120,1,349.03
11220,70,3.0,2.2,120,1,353.9
11250,70,3.0,2.0,120,1,369.08
11280,70,3.0,1.8,120,1,365.54
11310,70,3.0,1.4,120,1,359.41
11340,70,3.0,0.8,120,1,350.69
11370,70,3.0,0.8,120,1,342.06
11400,70,3.0,0.8,120,2,337.23
11430,70,3.0,0.8,120,1,333.32
11460,70,3.0,0.8,120,1,329.62
11490,70,3.0,0.8,120,0,326.58
11520,70,3.0,0.8,120,1,313.68
11550,70,3.0,0.8,120,2,309.64
11580,70,3.0,0.8,120,2,306.7
11610,70,3.0,0.8,120,2,305.24
11640,70,3.0,0.8,120,3,302.23
11670,70,3.0,0.8,120,3,297.65
11700,70,3.0,0.8,120,4,293.32
11730,70,3.0,0.8,120,4,289.06
11760,70,3.0,0.8,120,4,285.78
11790,70,3.0,0.8,120,4,284.35
11820,70,3.0,0.8,120,5,283.79
11850,70,3.0,0.8,120,5,283.84
11880,70,3.0,0.8,120,4,283.2
11910,70,3.0,0.8,120,5,282.93
11940,70,3.0,0.8,120,5,282.1
11970,70,3.0,0.8,120,5,282.2
12000,70,3.0,0.8,120,5,282.54
12030,70,3.0,0.8,130,5,282.41
12060,70,3.0,0.8,150,5,282.95
12090,70,3.0,0.8,170,6,284.31
12120,70,3.0,0.8,180,6,286.25
12150,70,3.0,0.8,180,6,290.56
12180,70,3.0,0.8,180,7,293.54
12210,70,3.0,0.8,180,7,295.34
12240,70,3.0,0.8,180,7,296.61
12270,70,3.0,0.8,180,7,300.1
12300,70,3.0,0.8,200,7,304.9
12330,70,3.0,0.8,220,8,311.61
12360,70,3.0,0.8,220,8,318.97
12390,70,3.0,0.8,220,8,326.08
12420,70,3.0,0.8,190,8,330.47
12450,70,3.0,0.8,170,8,332.48
12480,70,3.0,0.8,150,8,335.88
12510,70,3.0,0.8,150,7,336.81
12540,70,3.0,0.8,150,7,337.13
12570,70,3.0,0.8,150,8,337.86
12600,70,3.0,0.8,150,8,351.58
12630,70,3.0,0.8,150,8,365.44
12660,70,3.0,0.8,150,9,369.54
12690,70,3.0,0.8,150,9,371.67
12720,70,3.0,0.8,150,9,372.04
12750,70,3.0,0.8,150,9,377.95
12780,70,3.0,0.8,150,9,383.25
12810,70,3.0,0.8,150,9,381.36
12840,70,3.0,0.8,150,9,375.98
12870,70,3.0,0.8,150,8,370.1
12900,70,3.0,0.8,150,8,364.8
12930,70,3.0,0.8,150,8,347.72
12960,70,3.0,0.8,150,8,349.89
12990,70,3.0,0.8,150,8,349.83
13020,70,3.0,0.8,150,8,349.74
13050,70,3.0,0.8,150,8,346.51
13080,70,3.0,0.8,150,9,344.24
13110,70,3.0,0.8,150,8,348.98
13140,70,3.0,0.8,150,9,340.23
13170,70,3.0,0.8,150,9,331.62
13200,70,3.0,0.8,150,9,331.4
13230,70,3.0,0.8,150,9,323.75
13260,70,3.0,0.8,150,9,315.81
13290,70,3.0,0.8,150,9,308.45
13320,70,3.0,0.8,150,9,300.61
13350,70,3.0,0.8,150,9,291.38
13380,70,3.0,0.8,150,9,282.1
13410,70,3.0,0.8,150,9,273.07
13440,70,3.0,0.8,150,9,269.24
13470,70,3.0,0.8,150,9,267.61
13500,70,3.0,0.8,150,9,265.73
13530,70,3.0,0.8,150,9,263.74
13560,70,3.0,0.8,150,9,261.65
13590,70,3.0,0.8,150,9,257.8
13620,70,3.0,0.8,150,9,253.35
13650,70,3.0,0.8,150,9,249.06
13680,70,3.0,0.8,150,9,245.35
13710,70,3.0,0.8,150,9,242.44
13740,70,3.0,0.8,150,9,242.1
13770,70,3.0,0.8,150,10,278.7
13800,70,3.0,0.8,150,12,278.52
13830,70,3.0,0.8,150,12,277.63
13860,70,3.0,0.8,150,12,274.31
13890,70,3.0,0.8,150,12,270.31
13920,70,3.0,0.8,150,12,267.1
13950,70,3.0,0.8,150,12,260.4
13980,70,3.0,0.8,150,12,254.14
14010,70,3.0,0.8,150,12,248.24
14040,70,3.0,0.8,150,12,242.3
14070,70,3.0,0.8,150,10,235.78
14100,70,3.0,0.8,150,11,229.31
14130,70,3.0,0.8,150,11,223.68
14160,70,3.0,0.8,150,11,217.39
14190,70,3.0,0.8,150,11,211.62
14220,70,3.0,0.8,150,11,205.31
14250,70,3.0,0.8,150,11,199.19
14280,70,3.0,0.8,150,11,193.32
14310,70,3.0,0.8,150,11,190.81
14340,70,3.0,0.8,150,12,189.79
14370,70,3.0,0.8,150,12,189.19
14400,70,3.0,0.8,150,12,186.94
14430,70,3.0,0.8,150,12,185.08
14460,70,3.0,0.8,150,12,178.68
14490,70,3.0,0.8,150,12,171.36
14520,70,3.0,0.8,150,12,167.26
14550,70,3.0,0.8,150,12,162.03
14580,70,3.0,0.8,150,12,157.32
14610,70,3.0,0.8,150,12,153.21
14640,70,3.0,0.8,150,12,149.36
14670,70,3.0,0.8,150,12,144.77
14700,70,3.0,0.8,150,13,141.6
14730,70,3.0,0.8,150,13,139.02
14760,70,3.0,0.8,150,13,136.85
14790,70,3.0,0.8,150,13,135.08
14820,70,3.0,0.8,150,13,133.31
14850,70,3.0,0.8,150,13,131.72
14880,70,3.0,0.8,150,13,131.32
14910,70,3.0,0.8,150,13,131.14
14940,70,3.0,0.8,150,14,131.18
14970,70,3.0,0.8,150,13,130.92
15000,70,3.0,0.8,150,13,131.02
15030,70,3.0,0.8,150,13,131.09
15060,70,3.0,0.8,150,13,131.26
15090,70,3.0,0.8,150,13,131.29
15120,70,3.0,0.8,150,14,131.54
15150,70,3.0,0.8,150,14,131.7
15180,70,3.0,0.8,150,17,131.96
15210,70,3.0,0.8,150,18,130.55
15240,70,3.0,0.8,150,19,128.35
15270,70,3.0,0.8,150,19,127.41
15300,70,3.0,0.8,150,19,126.5
15330,70,3.0,0.8,150,19,125.53
15360,70,3.0,0.8,150,19,124.48
15390,70,3.0,0.8,150,19,123.51
15420,70,3.0,0.8,150,18,122.48
15450,70,3.0,0.8,150,18,121.55
15480,70,3.0,0.8,150,18,120.75
15510,70,3.0,0.8,150,18,119.91
15540,70,3.0,0.8,150,18,119.23
15570,70,3.0,0.8,150,18,119.15
15600,70,3.0,0.8,150,18,118.94
15630,70,3.0,0.8,150,18,118.59
15660,70,3.0,0.8,150,19,118.17
15690,70,3.0,0.8,150,19,117.76
15720,70,3.0,0.8,150,19,117.42
15750,70,3.0,0.8,150,19,117.16
15780,70,3.0,0.8,150,19,116.99
15810,70,3.0,0.8,150,20,116.72
15840,70,3.0,0.8,150,20,116.2
15870,70,3.0,0.8,150,20,115.9
15900,70,3.0,0.8,150,20,115.71
15930,70,3.0,0.8,150,20,115.76
15960,70,3.0,0.8,150,20,118.44
15990,70,3.0,0.8,150,20,119.98
16020,70,3.0,0.8,150,20,118.9
16050,70,3.0,0.8,150,20,118.07
16080,70,3.0,0.8,150,19,117.21
16110,70,3.0,0.8,150,19,116.37
16140,70,3.0,0.8,150,19,115.56
16170,70,3.0,0.8,150,19,114.83
16200,70,3.0,0.8,150,19,114.19
16230,70,3.0,0.8,150,19,113.25
16260,70,3.0,0.8,150,19,112.04
16290,70,3.0,0.8,150,19,111.41
16320,70,3.0,0.8,150,19,110.91
16350,70,3.0,0.8,150,19,110.01
16380,70,3.0,0.8,150,19,109.56
16410,70,3.0,0.8,150,19,109.13
16440,70,3.0,0.8,150,19,108.6
16470,70,3.0,0.8,150,19,108.3
16500,70,3.0,0.8,150,19,107.9
16530,70,3.0,0.8,150,19,99.65
16560,70,3.0,0.8,150,19,99.03
16590,70,3.0,0.8,150,19,98.59
16620,70,3.0,0.8,150,19,98.3
16650,70,3.0,0.8,150,19,98.16
16680,70,3.0,0.8,150,19,98.03
16710,70,3.0,0.8,150,19,104.17
16740,70,3.0,0.8,150,19,109.22
16770,70,3.0,0.8,150,19,107.59
16800,70,3.0,0.8,150,19,105.57
16830,70,3.0,0.8,150,19,103.74
16860,70,3.0,0.8,150,19,102.41
16890,70,3.0,0.8,150,19,101.19
16920,70,3.0,0.8,150,19,99.87
16950,70,3.0,0.8,150,19,98.75
16980,70,3.0,0.8,150,19,97.75
17010,70,3.0,0.8,150,19,96.94
17040,70,3.0,0.8,150,19,96.05
17070,70,3.0,0.8,150,19,95.21
17100,70,3.0,0.8,150,19,94.4
17130,70,3.0,0.8,150,19,93.68
17160,70,3.0,0.8,150,19,93.05
17190,70,3.0,0.8,150,19,118.51
17220,70,3.0,0.8,150,19,117.83
17250,70,3.0,0.8,150,19,117.25
17280,70,3.0,0.8,150,19,116.67
17310,70,3.0,0.8,150,19,115.99
17340,70,3.0,0.8,150,19,115.17
17370,70,3.0,0.8,150,19,115.09
17400,70,3.0,0.8,150,19,114.94
17430,70,3.0,0.8,150,19,114.89
17460,70,3.0,0.8,150,19,125.57
17490,70,3.0,0.8,150,19,135.24
17520,70,3.0,0.8,150,19,133.84
17550,70,3.0,0.8,150,19,132.71
17580,70,3.0,0.8,150,19,131.84
17610,70,3.0,0.8,150,19,130.51
17640,70,3.0,0.8,150,19,129.17
17670,70,3.0,0.8,150,19,128.02
17700,70,3.0,0.8,150,19,127.09
17730,70,3.0,0.8,150,19,127.13
17760,70,3.0,0.8,150,19,127.51
17790,70,3.0,0.8,150,19,126.12
17820,70,3.0,0.8,150,19,137.44
17850,70,3.0,0.8,150,19,148.68
17880,70,3.0,0.8,150,19,171.69
17910,70,3.0,0.8,150,19,168.95
17940,70,3.0,0.8,150,19,166.34
17970,70,3.0,0.8,150,19,163.91
18000,70,3.0,0.8,150,19,137.94
18030,70,3.0,0.8,150,19,135.34
18060,70,3.0,0.8,150,19,132.63
18090,70,3.0,0.8,150,19,129.87
18120,70,3.0,0.8,150,19,127.33
18150,70,3.0,0.8,150,19,124.92
18180,70,3.0,0.8,150,19,122.85
18210,70,3.0,0.8,150,19,121.05
18240,70,3.0,0.8,150,19,120.07
18270,70,3.0,0.8,150,19,119.56
18300,70,3.0,0.8,150,19,118.72
18330,70,3.0,0.8,150,19,118.23
18360,70,3.0,0.8,150,19,118.05
18390,70,3.0,0.8,150,19,117.62
18420,70,3.0,0.8,150,19,117.15
18450,70,3.0,0.8,150,19,116.85
18480,70,3.0,0.8,150,19,116.89
18510,70,3.0,0.8,150,19,120.94
18540,70,3.0,0.8,150,19,123.03
18570,70,3.0,0.8,150,19,121.86
18600,70,3.0,0.8,150,19,120.92
18630,70,3.0,0.8,150,19,119.96
18660,70,3.0,0.8,150,19,119.38
18690,70,3.0,0.8,150,19,118.73
18720,70,3.0,0.8,150,19,117.97
18750,70,3.0,0.8,150,19,117.73
18780,70,3.0,0.8,150,19,117.43
18810,70,3.0,0.8,150,19,117.3
18840,70,3.0,0.8,150,19,116.63
18870,70,3.0,0.8,150,19,113.11
18900,70,3.0,0.8,150,19,109.8
18930,70,3.0,0.8,150,19,107.38
18960,70,3.0,0.8,150,19,105.24
18990,70,3.0,0.8,150,19,102.69
19020,70,3.0,0.8,150,19,100.38
19050,70,3.0,0.8,150,19,98.34
19080,70,3.0,0.8,150,19,96.12
19110,70,3.0,0.8,150,19,93.86
19140,70,3.0,0.8,150,19,91.64
19170,70,3.0,0.8,150,19,89.5
19200,70,3.0,0.8,150,19,87.36
19230,70,3.0,0.8,150,19,84.95
19260,70,3.0,0.8,150,19,83.4
19290,70,3.0,0.8,150,19,81.86
19320,70,3.0,0.8,150,19,80.5
19350,70,3.0,0.8,150,19,80.52
19380,70,3.0,0.8,150,19,80.41
19410,70,3.0,0.8,150,19,80.44
19440,70,3.0,0.8,150,19,80.45
19470,70,3.0,0.8,150,19,80.38
19500,70,3.0,0.8,150,19,80.52
19530,70,3.0,0.8,150,19,80.41
19560,70,3.0,0.8,150,19,80.32
19590,70,3.0,0.8,150,19,80.27
19620,70,3.0,0.8,150,19,80.17
19650,70,3.0,0.8,150,19,79.93
19680,70,3.0,0.8,150,19,79.95
19710,70,3.0,0.8,150,19,79.82
19740,70,3.0,0.8,150,19,79.78
19770,70,3.0,0.8,150,19,79.98
19800,70,3.0,0.8,150,19,80.04
19830,70,3.0,0.8,150,19,79.91
19860,70,3.0,0.8,150,19,79.89
